signal_set,signal_set_description,experiment_id,experiment_display_name,cv_strategy,model,model_display,summary_model_name,suite_run_dir,trainer_run_dir,fold_metrics_path,metric_source_model,fold_id,metric_type,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,macro_auc_ovr,weighted_precision,weighted_recall,weighted_f1,weighted_auc_ovr,loss
all_signals,"Gaze, pupil, screen distance, and fixation-duration nodes with all graph relations.",multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,SVM,SVM,SVM,results/quick_v1_v2_comparison/2026-06-12_16-29-08/model_runs/all_signals/2026-06-12_18-09-29,results/quick_v1_v2_comparison/2026-06-12_16-29-08/model_runs/all_signals/2026-06-12_18-09-29/multiclass_table6_valence_3class_emotion-elicitation_2026-06-12_18-10-59,results/quick_v1_v2_comparison/2026-06-12_16-29-08/model_runs/all_signals/2026-06-12_18-09-29/multiclass_table6_valence_3class_emotion-elicitation_2026-06-12_18-10-59/subject_kfold/fold_metrics.csv,SVM,skf_6_P18_P29_P7,aggregated,0.7354166666666667,0.7063883887971195,0.7171875,0.7063883887971195,0.710429937440326,0.7791718480298446,0.7310872395833333,0.7354166666666667,0.732049660600706,0.7791718480298447,0.5520658621357557
all_signals,"Gaze, pupil, screen distance, and fixation-duration nodes with all graph relations.",multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,LightGBM,LightGBM,LightGBM,results/quick_v1_v2_comparison/2026-06-12_16-29-08/model_runs/all_signals/2026-06-12_18-09-29,results/quick_v1_v2_comparison/2026-06-12_16-29-08/model_runs/all_signals/2026-06-12_18-09-29/multiclass_table6_valence_3class_emotion-elicitation_2026-06-12_18-10-59,results/quick_v1_v2_comparison/2026-06-12_16-29-08/model_runs/all_signals/2026-06-12_18-09-29/multiclass_table6_valence_3class_emotion-elicitation_2026-06-12_18-10-59/subject_kfold/fold_metrics.csv,LightGBM,skf_0_P1_P14_P2_P27,aggregated,0.6614950634696756,0.6725863031172765,0.7273419449695442,0.6725863031172765,0.6435693338919145,0.8178824842541657,0.7331908083692461,0.6614950634696756,0.6400743803264392,0.8178824842541658,0.5952046361279173
all_signals,"Gaze, pupil, screen distance, and fixation-duration nodes with all graph relations.",multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,LightGBM,LightGBM,LightGBM,results/quick_v1_v2_comparison/2026-06-12_16-29-08/model_runs/all_signals/2026-06-12_18-09-29,results/quick_v1_v2_comparison/2026-06-12_16-29-08/model_runs/all_signals/2026-06-12_18-09-29/multiclass_table6_valence_3class_emotion-elicitation_2026-06-12_18-10-59,results/quick_v1_v2_comparison/2026-06-12_16-29-08/model_runs/all_signals/2026-06-12_18-09-29/multiclass_table6_valence_3class_emotion-elicitation_2026-06-12_18-10-59/subject_kfold/fold_metrics.csv,LightGBM,skf_1_P17_P20_P8,aggregated,0.705078125,0.7014945901338713,0.7095018670056408,0.7014945901338713,0.7008315823281983,0.788113576624488,0.7086344666123778,0.705078125,0.7022238914009202,0.788113576624488,0.5608789984780913
all_signals,"Gaze, pupil, screen distance, and fixation-duration nodes with all graph relations.",multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,LightGBM,LightGBM,LightGBM,results/quick_v1_v2_comparison/2026-06-12_16-29-08/model_runs/all_signals/2026-06-12_18-09-29,results/quick_v1_v2_comparison/2026-06-12_16-29-08/model_runs/all_signals/2026-06-12_18-09-29/multiclass_table6_valence_3class_emotion-elicitation_2026-06-12_18-10-59,results/quick_v1_v2_comparison/2026-06-12_16-29-08/model_runs/all_signals/2026-06-12_18-09-29/multiclass_table6_valence_3class_emotion-elicitation_2026-06-12_18-10-59/subject_kfold/fold_metrics.csv,LightGBM,skf_2_P13_P28_P30,aggregated,0.6604938271604939,0.6604938271604939,0.6667311752287122,0.6604938271604939,0.6572886527884028,0.7568290741587496,0.6667311752287122,0.6604938271604939,0.6572886527884028,0.7568290741587496,0.5850705497270403
all_signals,"Gaze, pupil, screen distance, and fixation-duration nodes with all graph relations.",multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,LightGBM,LightGBM,LightGBM,results/quick_v1_v2_comparison/2026-06-12_16-29-08/model_runs/all_signals/2026-06-12_18-09-29,results/quick_v1_v2_comparison/2026-06-12_16-29-08/model_runs/all_signals/2026-06-12_18-09-29/multiclass_table6_valence_3class_emotion-elicitation_2026-06-12_18-10-59,results/quick_v1_v2_comparison/2026-06-12_16-29-08/model_runs/all_signals/2026-06-12_18-09-29/multiclass_table6_valence_3class_emotion-elicitation_2026-06-12_18-10-59/subject_kfold/fold_metrics.csv,LightGBM,skf_3_P19_P22_P4,aggregated,0.7158119658119658,0.7180525344105873,0.7220092309982877,0.7180525344105873,0.71499869504897,0.7822947703218966,0.7233648827577959,0.7158119658119658,0.7145432634216924,0.7822947703218968,0.5694664050020753
all_signals,"Gaze, pupil, screen distance, and fixation-duration nodes with all graph relations.",multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,LightGBM,LightGBM,LightGBM,results/quick_v1_v2_comparison/2026-06-12_16-29-08/model_runs/all_signals/2026-06-12_18-09-29,results/quick_v1_v2_comparison/2026-06-12_16-29-08/model_runs/all_signals/2026-06-12_18-09-29/multiclass_table6_valence_3class_emotion-elicitation_2026-06-12_18-10-59,results/quick_v1_v2_comparison/2026-06-12_16-29-08/model_runs/all_signals/2026-06-12_18-09-29/multiclass_table6_valence_3class_emotion-elicitation_2026-06-12_18-10-59/subject_kfold/fold_metrics.csv,LightGBM,skf_4_P10_P16_P5,aggregated,0.6923076923076923,0.69234360410831,0.692355577689243,0.69234360410831,0.6923064952849274,0.7530812324929972,0.6923843089181735,0.6923076923076923,0.6923029042166324,0.7530812324929973,0.5912016923668152
all_signals,"Gaze, pupil, screen distance, and fixation-duration nodes with all graph relations.",multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,LightGBM,LightGBM,LightGBM,results/quick_v1_v2_comparison/2026-06-12_16-29-08/model_runs/all_signals/2026-06-12_18-09-29,results/quick_v1_v2_comparison/2026-06-12_16-29-08/model_runs/all_signals/2026-06-12_18-09-29/multiclass_table6_valence_3class_emotion-elicitation_2026-06-12_18-10-59,results/quick_v1_v2_comparison/2026-06-12_16-29-08/model_runs/all_signals/2026-06-12_18-09-29/multiclass_table6_valence_3class_emotion-elicitation_2026-06-12_18-10-59/subject_kfold/fold_metrics.csv,LightGBM,skf_5_P21_P23_P24,aggregated,0.6607843137254902,0.6630214101144334,0.6899156050099446,0.6630214101144334,0.6491165276733837,0.7396794635166728,0.6908259578625838,0.6607843137254902,0.6483637672829251,0.7396794635166727,0.6560915532574334
all_signals,"Gaze, pupil, screen distance, and fixation-duration nodes with all graph relations.",multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,LightGBM,LightGBM,LightGBM,results/quick_v1_v2_comparison/2026-06-12_16-29-08/model_runs/all_signals/2026-06-12_18-09-29,results/quick_v1_v2_comparison/2026-06-12_16-29-08/model_runs/all_signals/2026-06-12_18-09-29/multiclass_table6_valence_3class_emotion-elicitation_2026-06-12_18-10-59,results/quick_v1_v2_comparison/2026-06-12_16-29-08/model_runs/all_signals/2026-06-12_18-09-29/multiclass_table6_valence_3class_emotion-elicitation_2026-06-12_18-10-59/subject_kfold/fold_metrics.csv,LightGBM,skf_6_P18_P29_P7,aggregated,0.7354166666666667,0.7222387200950278,0.7181215389099388,0.7222387200950278,0.7198928461478373,0.7913101579465098,0.7384100541630235,0.7354166666666667,0.7366530771504672,0.7913101579465099,0.5427574881078354
all_signals,"Gaze, pupil, screen distance, and fixation-duration nodes with all graph relations.",multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,MLP,MLP,MLP,results/quick_v1_v2_comparison/2026-06-12_16-29-08/model_runs/all_signals/2026-06-12_18-09-29,results/quick_v1_v2_comparison/2026-06-12_16-29-08/model_runs/all_signals/2026-06-12_18-09-29/multiclass_table6_valence_3class_emotion-elicitation_2026-06-12_18-10-59,results/quick_v1_v2_comparison/2026-06-12_16-29-08/model_runs/all_signals/2026-06-12_18-09-29/multiclass_table6_valence_3class_emotion-elicitation_2026-06-12_18-10-59/subject_kfold/fold_metrics.csv,MLP,skf_0_P1_P14_P2_P27,aggregated,0.6473906911142454,0.6583313401897473,0.7070552786871573,0.6583313401897473,0.6292089232519998,0.7940365143904966,0.7124164445270421,0.6473906911142454,0.6256188926549959,0.7940365143904966,0.7719080410002732
all_signals,"Gaze, pupil, screen distance, and fixation-duration nodes with all graph relations.",multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,MLP,MLP,MLP,results/quick_v1_v2_comparison/2026-06-12_16-29-08/model_runs/all_signals/2026-06-12_18-09-29,results/quick_v1_v2_comparison/2026-06-12_16-29-08/model_runs/all_signals/2026-06-12_18-09-29/multiclass_table6_valence_3class_emotion-elicitation_2026-06-12_18-10-59,results/quick_v1_v2_comparison/2026-06-12_16-29-08/model_runs/all_signals/2026-06-12_18-09-29/multiclass_table6_valence_3class_emotion-elicitation_2026-06-12_18-10-59/subject_kfold/fold_metrics.csv,MLP,skf_1_P17_P20_P8,aggregated,0.69140625,0.6845161684699554,0.7129453262786596,0.6845161684699554,0.6781257957728546,0.7795708784155511,0.7106539351851852,0.69140625,0.6806797292780749,0.7795708784155511,0.5867301220990544
