signal_set,signal_set_description,experiment_id,experiment_display_name,cv_strategy,model,summary_model_name,true_class_index,true_class_name,pred_class_index,pred_class_name,count,row_normalized
all_signals,"Gaze, pupil, screen distance, and fixation-duration nodes with all graph relations.",multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,Random,Random,1,High valence,0,Low valence,879,0.5
all_signals,"Gaze, pupil, screen distance, and fixation-duration nodes with all graph relations.",multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,Random,Random,1,High valence,1,High valence,879,0.5
all_signals,"Gaze, pupil, screen distance, and fixation-duration nodes with all graph relations.",multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,SVM,SVM,0,Low valence,0,Low valence,1359,0.7100313479623824
all_signals,"Gaze, pupil, screen distance, and fixation-duration nodes with all graph relations.",multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,SVM,SVM,0,Low valence,1,High valence,555,0.28996865203761757
all_signals,"Gaze, pupil, screen distance, and fixation-duration nodes with all graph relations.",multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,SVM,SVM,1,High valence,0,Low valence,611,0.34755403868031853
all_signals,"Gaze, pupil, screen distance, and fixation-duration nodes with all graph relations.",multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,SVM,SVM,1,High valence,1,High valence,1147,0.6524459613196815
gaze_only,Gaze x/y nodes with temporal and spatial graph relations.,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,BasicGCN,BasicGCN,0,Low valence,0,Low valence,1293,0.6640986132511556
gaze_only,Gaze x/y nodes with temporal and spatial graph relations.,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,BasicGCN,BasicGCN,0,Low valence,1,High valence,654,0.3359013867488444
gaze_only,Gaze x/y nodes with temporal and spatial graph relations.,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,BasicGCN,BasicGCN,1,High valence,0,Low valence,665,0.376131221719457
gaze_only,Gaze x/y nodes with temporal and spatial graph relations.,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,BasicGCN,BasicGCN,1,High valence,1,High valence,1103,0.623868778280543
