run_name,description,wrapper_config_path,suite_run_dir,runtime_seconds,error,experiment_id,experiment_display_name,cv_strategy,model,summary_model_name,status,accuracy,balanced_accuracy,macro_f1,weighted_f1,auc,loss
Baselines,"Baselines on the same quick subset and folds: Random, Majority, SVM, LightGBM, MLP, GazeMAE_MLP.",results/quick_v1_v2_comparison/2026-05-18_13-24-39/generated_wrapper_configs/Baselines.yaml,results/quick_v1_v2_comparison/2026-05-18_13-24-39/model_runs/2026-05-18_19-24-36,642.948,,multiclass_table6_valence_3class,Table-6 Valence,subject_loo,LightGBM,LightGBM,success,0.4650808263802554,0.4518362795334257,0.4098454569909939,0.4299924899741731,0.6529661499979394,1.068741713099963
Baselines,"Baselines on the same quick subset and folds: Random, Majority, SVM, LightGBM, MLP, GazeMAE_MLP.",results/quick_v1_v2_comparison/2026-05-18_13-24-39/generated_wrapper_configs/Baselines.yaml,results/quick_v1_v2_comparison/2026-05-18_13-24-39/model_runs/2026-05-18_19-24-36,642.948,,multiclass_table6_valence_3class,Table-6 Valence,subject_loo,MLP,MLP,success,0.4447740378392952,0.4377580400344845,0.408923297485744,0.4254435299172392,0.6350618885448064,1.1684555331208537
GNN_v2,Current v2 GNN with split temporal edges and learned signed edge attributes.,results/quick_v1_v2_comparison/2026-05-18_13-24-39/generated_wrapper_configs/GNN_v2.yaml,results/quick_v1_v2_comparison/2026-05-18_13-24-39/model_runs/2026-05-18_16-17-07,11248.939,,multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,GNN_v2,GNN,success,0.5012568622219535,0.4018365720814024,0.3438017687794008,0.4325417715625788,0.6555373643797661,1.023086965084076
Baselines,"Baselines on the same quick subset and folds: Random, Majority, SVM, LightGBM, MLP, GazeMAE_MLP.",results/quick_v1_v2_comparison/2026-05-18_13-24-39/generated_wrapper_configs/Baselines.yaml,results/quick_v1_v2_comparison/2026-05-18_13-24-39/model_runs/2026-05-18_19-24-36,642.948,,multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,LightGBM,LightGBM,success,0.4701733020570021,0.3867069615186195,0.3540853593714785,0.4297707059071283,0.6063757998672935,1.0354729821032207
Baselines,"Baselines on the same quick subset and folds: Random, Majority, SVM, LightGBM, MLP, GazeMAE_MLP.",results/quick_v1_v2_comparison/2026-05-18_13-24-39/generated_wrapper_configs/Baselines.yaml,results/quick_v1_v2_comparison/2026-05-18_13-24-39/model_runs/2026-05-18_19-24-36,642.948,,multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,SVM,SVM,success,0.4851068745350755,0.3833765624065273,0.3368025811489609,0.4209283134301111,0.6125285490116558,1.0161671330984925
Baselines,"Baselines on the same quick subset and folds: Random, Majority, SVM, LightGBM, MLP, GazeMAE_MLP.",results/quick_v1_v2_comparison/2026-05-18_13-24-39/generated_wrapper_configs/Baselines.yaml,results/quick_v1_v2_comparison/2026-05-18_13-24-39/model_runs/2026-05-18_19-24-36,642.948,,multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,MLP,MLP,success,0.4441499281533705,0.3796961964566827,0.3565697371193763,0.4194153302894044,0.590960691388693,1.1295249524414832
Baselines,"Baselines on the same quick subset and folds: Random, Majority, SVM, LightGBM, MLP, GazeMAE_MLP.",results/quick_v1_v2_comparison/2026-05-18_13-24-39/generated_wrapper_configs/Baselines.yaml,results/quick_v1_v2_comparison/2026-05-18_13-24-39/model_runs/2026-05-18_19-24-36,642.948,,multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,Majority,Majority,success,0.4709208058698305,0.3333333333333332,0.211996557997266,0.3058519377478629,0.5,19.069947088621248
Baselines,"Baselines on the same quick subset and folds: Random, Majority, SVM, LightGBM, MLP, GazeMAE_MLP.",results/quick_v1_v2_comparison/2026-05-18_13-24-39/generated_wrapper_configs/Baselines.yaml,results/quick_v1_v2_comparison/2026-05-18_13-24-39/model_runs/2026-05-18_19-24-36,642.948,,multiclass_table6_valence_3class,Table-6 Valence,subject_loo,Majority,Majority,success,0.3804797866691318,0.3333333333333332,0.1817972601850773,0.2155677927830314,0.5,22.32977183684972
Baselines,"Baselines on the same quick subset and folds: Random, Majority, SVM, LightGBM, MLP, GazeMAE_MLP.",results/quick_v1_v2_comparison/2026-05-18_13-24-39/generated_wrapper_configs/Baselines.yaml,results/quick_v1_v2_comparison/2026-05-18_13-24-39/model_runs/2026-05-18_19-24-36,642.948,,multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,Random,Random,success,0.3147705448910601,0.3266228459078397,0.3036829408777459,0.3285344292574205,0.4938101627593406,24.698172971960236
Baselines,"Baselines on the same quick subset and folds: Random, Majority, SVM, LightGBM, MLP, GazeMAE_MLP.",results/quick_v1_v2_comparison/2026-05-18_13-24-39/generated_wrapper_configs/Baselines.yaml,results/quick_v1_v2_comparison/2026-05-18_13-24-39/model_runs/2026-05-18_19-24-36,642.948,,multiclass_table6_valence_3class,Table-6 Valence,subject_loo,Random,Random,success,0.3184032700320223,0.322635219841301,0.313732222196587,0.3222909558853877,0.4913654712456035,24.567236286121457
