model,metric_type,accuracy,balanced_accuracy,f1,precision,recall,auc,suite_experiment_id,experiment_id,scope,task_type,experiment_group,strategy,trainer_run_dir,label_entropy,macro_precision,macro_recall,macro_f1,macro_auc_ovr,weighted_precision,weighted_recall,weighted_f1,weighted_auc_ovr,f1_comparable,auc_comparable
SVM,aggregated,0.5738957782134924,,0.3622814327611207,0.5,0.2951353436511383,,binary_tag_valid_image-tagging-1,binary_tag_valid,image-tagging-1,binary,tagging,recording_loo,results/suite_FULL/2026-03-05_13-25-29/binary_tag_valid_image-tagging-1_2026-03-05_16-05-48,0.998830066905287,,,,,,,,,0.3622814327611207,
LightGBM,aggregated,0.5831341135965421,,0.3661369623411659,0.5,0.2950947651096913,,binary_tag_valid_image-tagging-1,binary_tag_valid,image-tagging-1,binary,tagging,recording_loo,results/suite_FULL/2026-03-05_13-25-29/binary_tag_valid_image-tagging-1_2026-03-05_16-05-48,0.998830066905287,,,,,,,,,0.3661369623411659,
MLP,aggregated,0.5697882504726484,,0.3539019500767431,0.5,0.2826553873829166,,binary_tag_valid_image-tagging-1,binary_tag_valid,image-tagging-1,binary,tagging,recording_loo,results/suite_FULL/2026-03-05_13-25-29/binary_tag_valid_image-tagging-1_2026-03-05_16-05-48,0.998830066905287,,,,,,,,,0.3539019500767431,
GNN,aggregated,0.5340352179262084,,0.3455772976525406,0.5,0.2741636814300188,,binary_tag_valid_image-tagging-1,binary_tag_valid,image-tagging-1,binary,tagging,recording_loo,results/suite_FULL/2026-03-05_13-25-29/binary_tag_valid_image-tagging-1_2026-03-05_16-05-48,0.998830066905287,,,,,,,,,0.3455772976525406,
Mean,aggregated,0.2142857142857142,,0.2142857142857142,0.2142857142857142,0.2142857142857142,,binary_tag_valid_image-tagging-2,binary_tag_valid,image-tagging-2,binary,tagging,recording_loo,results/suite_FULL/2026-03-05_13-25-29/binary_tag_valid_image-tagging-2_2026-03-05_16-12-36,0.9998077571268716,,,,,,,,,0.2142857142857142,
SVM,aggregated,0.5903289000724293,,0.357461609493135,0.5,0.2896991760229928,,binary_tag_valid_image-tagging-2,binary_tag_valid,image-tagging-2,binary,tagging,recording_loo,results/suite_FULL/2026-03-05_13-25-29/binary_tag_valid_image-tagging-2_2026-03-05_16-12-36,0.9998077571268716,,,,,,,,,0.357461609493135,
LightGBM,aggregated,0.5735326152508492,,0.3477308475722808,0.5,0.272946338109712,,binary_tag_valid_image-tagging-2,binary_tag_valid,image-tagging-2,binary,tagging,recording_loo,results/suite_FULL/2026-03-05_13-25-29/binary_tag_valid_image-tagging-2_2026-03-05_16-12-36,0.9998077571268716,,,,,,,,,0.3477308475722808,
MLP,aggregated,0.5815969317333558,,0.3523600915680412,0.5,0.2803260757190414,,binary_tag_valid_image-tagging-2,binary_tag_valid,image-tagging-2,binary,tagging,recording_loo,results/suite_FULL/2026-03-05_13-25-29/binary_tag_valid_image-tagging-2_2026-03-05_16-12-36,0.9998077571268716,,,,,,,,,0.3523600915680412,
GNN,aggregated,0.5399144080454965,,0.3380025132075435,0.5,0.2683839660484254,,binary_tag_valid_image-tagging-2,binary_tag_valid,image-tagging-2,binary,tagging,recording_loo,results/suite_FULL/2026-03-05_13-25-29/binary_tag_valid_image-tagging-2_2026-03-05_16-12-36,0.9998077571268716,,,,,,,,,0.3380025132075435,
Mean,aggregated,0.1785714285714285,,0.1785714285714285,0.1785714285714285,0.1785714285714285,,binary_tag_valid_video-tagging,binary_tag_valid,video-tagging,binary,tagging,recording_loo,results/suite_FULL/2026-03-05_13-25-29/binary_tag_valid_video-tagging_2026-03-05_16-20-25,0.9996006565560044,,,,,,,,,0.1785714285714285,
