experiment_id,experiment_display_name,cv_strategy,model,summary_model_name,metric_type,metric,n_folds,mean,std,min,max
multiclass_table6_arousal_3class,Table-6 Arousal,recording_loo,LightGBM,LightGBM,aggregated,macro_precision,20,0.36505526075226286,0.08691309820656878,0.306477093206951,0.6884995610519485
multiclass_table6_arousal_3class,Table-6 Arousal,recording_loo,LightGBM,LightGBM,aggregated,macro_recall,20,0.2896306603337486,0.09410113422989382,0.139269406392694,0.4838935574229692
multiclass_table6_arousal_3class,Table-6 Arousal,recording_loo,LightGBM,LightGBM,aggregated,weighted_auc_ovr,19,0.5372121216189398,0.06837299991160824,0.3813157412747298,0.6381985934079081
multiclass_table6_arousal_3class,Table-6 Arousal,recording_loo,LightGBM,LightGBM,aggregated,weighted_f1,20,0.5157528112986864,0.20167991549802733,0.1194757393797114,0.8802973831559862
multiclass_table6_arousal_3class,Table-6 Arousal,recording_loo,LightGBM,LightGBM,aggregated,weighted_precision,20,0.7396320840804858,0.14236139440791631,0.4955071524181573,1.0
multiclass_table6_arousal_3class,Table-6 Arousal,recording_loo,LightGBM,LightGBM,aggregated,weighted_recall,20,0.46362073013632255,0.17933229984238597,0.1434426229508196,0.8358778625954199
multiclass_table6_arousal_3class,Table-6 Arousal,recording_loo,MLP,MLP,aggregated,accuracy,20,0.4388916717282725,0.21429449512809817,0.050632911392405,0.8053435114503816
multiclass_table6_arousal_3class,Table-6 Arousal,recording_loo,MLP,MLP,aggregated,balanced_accuracy,19,0.3868439824552517,0.1149110208645392,0.1904761904761904,0.5651311249137336
multiclass_table6_arousal_3class,Table-6 Arousal,recording_loo,MLP,MLP,aggregated,loss,20,1.1181933614170059,0.3204891095023658,0.6063294263740587,1.9562188752880627
multiclass_table6_arousal_3class,Table-6 Arousal,recording_loo,MLP,MLP,aggregated,macro_auc_ovr,19,0.509885042545604,0.055801278278509725,0.3862993226610056,0.6003979677025718
multiclass_table6_arousal_3class,Table-6 Arousal,recording_loo,MLP,MLP,aggregated,macro_f1,20,0.23942135224973526,0.09737738261476477,0.0353200883002207,0.379737221842485
multiclass_table6_arousal_3class,Table-6 Arousal,recording_loo,MLP,MLP,aggregated,macro_precision,20,0.31636204602071,0.09831741805490068,0.0194647201946472,0.4848484848484848
multiclass_table6_arousal_3class,Table-6 Arousal,recording_loo,MLP,MLP,aggregated,macro_recall,20,0.2772339185011518,0.0802471436905519,0.1415525114155251,0.4179894179894179
multiclass_table6_arousal_3class,Table-6 Arousal,recording_loo,MLP,MLP,aggregated,weighted_auc_ovr,19,0.5246433323614618,0.07620391659164073,0.3282601659872184,0.6245733429997152
multiclass_table6_arousal_3class,Table-6 Arousal,recording_loo,MLP,MLP,aggregated,weighted_f1,20,0.4707994556133805,0.24261644541501348,0.0093888842317042,0.8607403196307752
multiclass_table6_arousal_3class,Table-6 Arousal,recording_loo,MLP,MLP,aggregated,weighted_precision,20,0.6688687387970986,0.2523511191163124,0.005174166127691,1.0
multiclass_table6_arousal_3class,Table-6 Arousal,recording_loo,MLP,MLP,aggregated,weighted_recall,20,0.4388916717282725,0.21429449512809817,0.050632911392405,0.8053435114503816
multiclass_table6_arousal_3class,Table-6 Arousal,recording_loo,SVM,SVM,aggregated,accuracy,20,0.4822055712268699,0.18936291073762035,0.1475409836065573,0.8587786259541985
multiclass_table6_arousal_3class,Table-6 Arousal,recording_loo,SVM,SVM,aggregated,balanced_accuracy,19,0.4008374527005744,0.09312173404550127,0.2280966767371601,0.5483091787439613
multiclass_table6_arousal_3class,Table-6 Arousal,recording_loo,SVM,SVM,aggregated,loss,20,1.080440397660038,0.2981140443610643,0.5907887732212257,1.7098307201980791
multiclass_table6_arousal_3class,Table-6 Arousal,recording_loo,SVM,SVM,aggregated,macro_auc_ovr,19,0.5236061285290723,0.08657264802072527,0.3005637773079633,0.6974627191827188
multiclass_table6_arousal_3class,Table-6 Arousal,recording_loo,SVM,SVM,aggregated,macro_f1,20,0.272539108087701,0.08367018529505178,0.1218236937121057,0.4695045259607847
multiclass_table6_arousal_3class,Table-6 Arousal,recording_loo,SVM,SVM,aggregated,macro_precision,20,0.354323476945063,0.04940613496751592,0.2742486805764445,0.5147306397306397
multiclass_table6_arousal_3class,Table-6 Arousal,recording_loo,SVM,SVM,aggregated,macro_recall,20,0.2916935657619522,0.09295914573144522,0.1210045662100456,0.4851839688621298
multiclass_table6_arousal_3class,Table-6 Arousal,recording_loo,SVM,SVM,aggregated,weighted_auc_ovr,19,0.53407251067933,0.0834384081572966,0.3693807256951802,0.6785638025827899
multiclass_table6_arousal_3class,Table-6 Arousal,recording_loo,SVM,SVM,aggregated,weighted_f1,20,0.5345088978264045,0.1989901616564439,0.1682430236570812,0.8852297129959089
multiclass_table6_arousal_3class,Table-6 Arousal,recording_loo,SVM,SVM,aggregated,weighted_precision,20,0.7451297077059822,0.14571852420159642,0.4917450359645242,1.0
multiclass_table6_arousal_3class,Table-6 Arousal,recording_loo,SVM,SVM,aggregated,weighted_recall,20,0.4822055712268699,0.18936291073762035,0.1475409836065573,0.8587786259541985
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,BasicGCN_attention,GNN,aggregated,accuracy,22,0.5069599255133835,0.0721646396202369,0.3381818181818182,0.625
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,BasicGCN_attention,GNN,aggregated,balanced_accuracy,22,0.40513063265747856,0.04925741489262163,0.3333333333333333,0.4943164231138914
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,BasicGCN_attention,GNN,aggregated,loss,22,1.0185848474502563,0.11492380045111014,0.8620522618293762,1.3949355483055117
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,BasicGCN_attention,GNN,aggregated,macro_auc_ovr,22,0.6469089524694969,0.056921967100898085,0.5650776106124368,0.776558938128807
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,BasicGCN_attention,GNN,aggregated,macro_f1,22,0.3476963285696623,0.0699141264439785,0.2089864158829676,0.4570847169312642
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,BasicGCN_attention,GNN,aggregated,macro_precision,22,0.4039791179547701,0.12106563944508182,0.15220700152207,0.6499339903595223
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,BasicGCN_attention,GNN,aggregated,macro_recall,22,0.40513063265747856,0.04925741489262163,0.3333333333333333,0.4943164231138914
