experiment_id,experiment_display_name,cv_strategy,model,summary_model_name,true_class_index,true_class_name,pred_class_index,pred_class_name,count,row_normalized
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,BasicGCN_mean,GNN,0,Calm,2,Excited/Activated,90,0.03829787234042553
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,BasicGCN_mean,GNN,1,Medium aroused,0,Calm,960,0.5460750853242321
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,BasicGCN_mean,GNN,1,Medium aroused,1,Medium aroused,756,0.4300341296928328
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,BasicGCN_mean,GNN,1,Medium aroused,2,Excited/Activated,42,0.023890784982935155
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,BasicGCN_mean,GNN,2,Excited/Activated,0,Calm,704,0.7602591792656588
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,BasicGCN_mean,GNN,2,Excited/Activated,1,Medium aroused,192,0.20734341252699784
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,BasicGCN_mean,GNN,2,Excited/Activated,2,Excited/Activated,30,0.032397408207343416
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,GNN_v2,GNN,0,Calm,0,Calm,1709,0.7272340425531915
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,GNN_v2,GNN,0,Calm,1,Medium aroused,583,0.24808510638297873
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,GNN_v2,GNN,0,Calm,2,Excited/Activated,58,0.02468085106382979
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,GNN_v2,GNN,1,Medium aroused,0,Calm,907,0.5159271899886234
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,GNN_v2,GNN,1,Medium aroused,1,Medium aroused,834,0.47440273037542663
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,GNN_v2,GNN,1,Medium aroused,2,Excited/Activated,17,0.009670079635949944
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,GNN_v2,GNN,2,Excited/Activated,0,Calm,690,0.7451403887688985
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,GNN_v2,GNN,2,Excited/Activated,1,Medium aroused,221,0.2386609071274298
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,GNN_v2,GNN,2,Excited/Activated,2,Excited/Activated,15,0.016198704103671708
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,GazeMAE_MLP,GazeMAE_MLP,0,Calm,0,Calm,1696,0.7217021276595744
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,GazeMAE_MLP,GazeMAE_MLP,0,Calm,1,Medium aroused,583,0.24808510638297873
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,GazeMAE_MLP,GazeMAE_MLP,0,Calm,2,Excited/Activated,71,0.03021276595744681
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,GazeMAE_MLP,GazeMAE_MLP,1,Medium aroused,0,Calm,732,0.41638225255972694
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,GazeMAE_MLP,GazeMAE_MLP,1,Medium aroused,1,Medium aroused,992,0.5642775881683731
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,GazeMAE_MLP,GazeMAE_MLP,1,Medium aroused,2,Excited/Activated,34,0.019340159271899887
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,GazeMAE_MLP,GazeMAE_MLP,2,Excited/Activated,0,Calm,528,0.5701943844492441
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,GazeMAE_MLP,GazeMAE_MLP,2,Excited/Activated,1,Medium aroused,317,0.34233261339092874
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,GazeMAE_MLP,GazeMAE_MLP,2,Excited/Activated,2,Excited/Activated,81,0.08747300215982722
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,LightGBM,LightGBM,0,Calm,0,Calm,1664,0.7080851063829787
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,LightGBM,LightGBM,0,Calm,1,Medium aroused,505,0.2148936170212766
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,LightGBM,LightGBM,0,Calm,2,Excited/Activated,181,0.07702127659574468
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,LightGBM,LightGBM,1,Medium aroused,0,Calm,652,0.3708759954493743
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,LightGBM,LightGBM,1,Medium aroused,1,Medium aroused,1021,0.580773606370876
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,LightGBM,LightGBM,1,Medium aroused,2,Excited/Activated,85,0.04835039817974972
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,LightGBM,LightGBM,2,Excited/Activated,0,Calm,541,0.5842332613390929
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,LightGBM,LightGBM,2,Excited/Activated,1,Medium aroused,219,0.23650107991360692
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,LightGBM,LightGBM,2,Excited/Activated,2,Excited/Activated,166,0.17926565874730022
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,MLP,MLP,0,Calm,0,Calm,1810,0.7702127659574468
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,MLP,MLP,0,Calm,1,Medium aroused,460,0.19574468085106383
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,MLP,MLP,0,Calm,2,Excited/Activated,80,0.03404255319148936
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,MLP,MLP,1,Medium aroused,0,Calm,846,0.4812286689419795
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,MLP,MLP,1,Medium aroused,1,Medium aroused,870,0.4948805460750853
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,MLP,MLP,1,Medium aroused,2,Excited/Activated,42,0.023890784982935155
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,MLP,MLP,2,Excited/Activated,0,Calm,641,0.6922246220302376
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,MLP,MLP,2,Excited/Activated,1,Medium aroused,216,0.23326133909287258
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,MLP,MLP,2,Excited/Activated,2,Excited/Activated,69,0.07451403887688984
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,SVM,SVM,0,Calm,0,Calm,1700,0.723404255319149
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,SVM,SVM,0,Calm,1,Medium aroused,493,0.2097872340425532
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,SVM,SVM,0,Calm,2,Excited/Activated,157,0.06680851063829787
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,SVM,SVM,1,Medium aroused,0,Calm,709,0.4032992036405006
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,SVM,SVM,1,Medium aroused,1,Medium aroused,965,0.5489192263936291
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,SVM,SVM,1,Medium aroused,2,Excited/Activated,84,0.04778156996587031
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,SVM,SVM,2,Excited/Activated,0,Calm,550,0.593952483801296
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,SVM,SVM,2,Excited/Activated,1,Medium aroused,208,0.22462203023758098
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,SVM,SVM,2,Excited/Activated,2,Excited/Activated,168,0.18142548596112312
multiclass_table6_valence_3class,Table-6 Valence,recording_loo,BasicGCN_attention,GNN,0,Unpleasant,0,Unpleasant,1107,0.5783699059561128
multiclass_table6_valence_3class,Table-6 Valence,recording_loo,BasicGCN_attention,GNN,0,Unpleasant,1,Neutral valence,206,0.10762800417972831
multiclass_table6_valence_3class,Table-6 Valence,recording_loo,BasicGCN_attention,GNN,0,Unpleasant,2,Pleasant,601,0.31400208986415884
multiclass_table6_valence_3class,Table-6 Valence,recording_loo,BasicGCN_attention,GNN,1,Neutral valence,0,Unpleasant,537,0.394273127753304
multiclass_table6_valence_3class,Table-6 Valence,recording_loo,BasicGCN_attention,GNN,1,Neutral valence,1,Neutral valence,289,0.21218795888399414
multiclass_table6_valence_3class,Table-6 Valence,recording_loo,BasicGCN_attention,GNN,1,Neutral valence,2,Pleasant,536,0.3935389133627019
multiclass_table6_valence_3class,Table-6 Valence,recording_loo,BasicGCN_attention,GNN,2,Pleasant,0,Unpleasant,769,0.43742889647326505
multiclass_table6_valence_3class,Table-6 Valence,recording_loo,BasicGCN_attention,GNN,2,Pleasant,1,Neutral valence,277,0.15756541524459614
multiclass_table6_valence_3class,Table-6 Valence,recording_loo,BasicGCN_attention,GNN,2,Pleasant,2,Pleasant,712,0.4050056882821388
multiclass_table6_valence_3class,Table-6 Valence,recording_loo,BasicGCN_mean,GNN,0,Unpleasant,0,Unpleasant,959,0.5010449320794148
multiclass_table6_valence_3class,Table-6 Valence,recording_loo,BasicGCN_mean,GNN,0,Unpleasant,1,Neutral valence,362,0.1891327063740857
multiclass_table6_valence_3class,Table-6 Valence,recording_loo,BasicGCN_mean,GNN,0,Unpleasant,2,Pleasant,593,0.3098223615464995
multiclass_table6_valence_3class,Table-6 Valence,recording_loo,BasicGCN_mean,GNN,1,Neutral valence,0,Unpleasant,360,0.2643171806167401
multiclass_table6_valence_3class,Table-6 Valence,recording_loo,BasicGCN_mean,GNN,1,Neutral valence,1,Neutral valence,307,0.22540381791483113
multiclass_table6_valence_3class,Table-6 Valence,recording_loo,BasicGCN_mean,GNN,1,Neutral valence,2,Pleasant,695,0.5102790014684288
multiclass_table6_valence_3class,Table-6 Valence,recording_loo,BasicGCN_mean,GNN,2,Pleasant,0,Unpleasant,713,0.4055745164960182
multiclass_table6_valence_3class,Table-6 Valence,recording_loo,BasicGCN_mean,GNN,2,Pleasant,1,Neutral valence,281,0.15984072810011377
multiclass_table6_valence_3class,Table-6 Valence,recording_loo,BasicGCN_mean,GNN,2,Pleasant,2,Pleasant,764,0.43458475540386804
multiclass_table6_valence_3class,Table-6 Valence,recording_loo,GNN_v2,GNN,0,Unpleasant,0,Unpleasant,1032,0.5391849529780565
multiclass_table6_valence_3class,Table-6 Valence,recording_loo,GNN_v2,GNN,0,Unpleasant,1,Neutral valence,278,0.1452455590386625
multiclass_table6_valence_3class,Table-6 Valence,recording_loo,GNN_v2,GNN,0,Unpleasant,2,Pleasant,604,0.3155694879832811
multiclass_table6_valence_3class,Table-6 Valence,recording_loo,GNN_v2,GNN,1,Neutral valence,0,Unpleasant,495,0.3634361233480176
multiclass_table6_valence_3class,Table-6 Valence,recording_loo,GNN_v2,GNN,1,Neutral valence,1,Neutral valence,309,0.22687224669603523
multiclass_table6_valence_3class,Table-6 Valence,recording_loo,GNN_v2,GNN,1,Neutral valence,2,Pleasant,558,0.40969162995594716
multiclass_table6_valence_3class,Table-6 Valence,recording_loo,GNN_v2,GNN,2,Pleasant,0,Unpleasant,846,0.4812286689419795
