config,strategy,run_dir,timestamp,mse,mae,sd_error,r2,pearson_r,window_length,kt,ks,hidden_channels,use_preprocess_mlp,add_self_loops
config_0015,recording_loo,./results/SpatioTemporalHeteroGNN/eSEEd_v2/2025-12-30_21-26-29,2025-12-30_21-26-29,13.562150239944458,3.1369611024856567,3.0860245,-2.069031113386154,0.03592917,5,7,5,128,True,False
config_0046,recording_loo,./results/SpatioTemporalHeteroGNN/eSEEd_v2/2025-12-30_23-25-23,2025-12-30_23-25-23,13.587047672271728,3.1423792839050293,3.106833,-2.077878487110138,0.0403578,5,17,1,64,True,True
config_0031,recording_loo,./results/SpatioTemporalHeteroGNN/eSEEd_v2/2025-12-30_22-36-05,2025-12-30_22-36-05,13.596412420272827,3.1510266780853278,3.1080732,-2.082079064846039,0.040996127,5,19,5,64,True,True
config_0023,recording_loo,./results/SpatioTemporalHeteroGNN/eSEEd_v2/2025-12-30_22-04-24,2025-12-30_22-04-24,13.596509170532226,3.1407671213150024,3.1198602,-1.92071333527565,0.017991532,30,17,2,512,True,False
config_0012,recording_loo,./results/SpatioTemporalHeteroGNN/eSEEd_v2/2025-12-30_21-11-01,2025-12-30_21-11-01,13.60872778892517,3.1534165859222414,3.107914,-2.092877101898193,0.041363426,5,20,6,64,True,True
config_0039,recording_loo,./results/SpatioTemporalHeteroGNN/eSEEd_v2/2025-12-30_23-05-40,2025-12-30_23-05-40,13.609757089614869,3.159087896347046,3.0986009,-2.1866562008857726,0.05202989,10,9,4,64,True,False
config_0044,recording_loo,./results/SpatioTemporalHeteroGNN/eSEEd_v2/2025-12-30_23-20-16,2025-12-30_23-20-16,13.648270845413208,3.1415839910507204,3.0924544,-2.0242001831531526,0.060601603,10,7,3,64,True,True
config_0024,recording_loo,./results/SpatioTemporalHeteroGNN/eSEEd_v2/2025-12-30_22-11-52,2025-12-30_22-11-52,13.65325574874878,3.139776372909546,3.0943632,-2.012281769514084,0.059372436,10,5,3,64,True,False
config_0007,recording_loo,./results/SpatioTemporalHeteroGNN/eSEEd_v2/2025-12-30_20-30-40,2025-12-30_20-30-40,13.654073667526244,3.139242911338806,3.103599,-2.199916923046112,0.0664058,5,24,4,512,True,False
config_0033,recording_loo,./results/SpatioTemporalHeteroGNN/eSEEd_v2/2025-12-30_22-46-30,2025-12-30_22-46-30,13.6730929851532,3.114895558357239,3.065158,-1.9316541731357573,0.081347905,5,28,3,32,True,False
config_0034,subject_loo,./results/SpatioTemporalHeteroGNN/eSEEd_v2/2025-12-30_22-51-05,2025-12-30_22-51-05,13.703522443771362,3.1245660305023195,3.470911,-0.6206932783126831,0.09407521,60,7,5,64,False,True
config_0018,subject_loo,./results/SpatioTemporalHeteroGNN/eSEEd_v2/2025-12-30_21-42-44,2025-12-30_21-42-44,13.704420471191408,3.1239624500274656,3.4714859,-0.6188581943511963,0.093799695,60,12,2,64,False,True
config_0042,subject_loo,./results/SpatioTemporalHeteroGNN/eSEEd_v2/2025-12-30_23-16-35,2025-12-30_23-16-35,13.706610870361327,3.1232265710830687,3.472213,-0.6166076838970185,0.09341148,60,29,1,64,False,True
config_0008,recording_loo,./results/SpatioTemporalHeteroGNN/eSEEd_v2/2025-12-30_20-45-48,2025-12-30_20-45-48,13.718523073196412,3.1587251663208007,3.1161275,-2.3258776903152465,0.035285525,5,18,3,512,False,True
config_0010,recording_loo,./results/SpatioTemporalHeteroGNN/eSEEd_v2/2025-12-30_21-03-54,2025-12-30_21-03-54,13.736737537384034,3.125894618034363,3.107617,-1.960661154985428,0.03726689,10,28,1,256,False,False
config_0030,subject_loo,./results/SpatioTemporalHeteroGNN/eSEEd_v2/2025-12-30_22-35-20,2025-12-30_22-35-20,13.755610466003418,3.1158721446990967,3.4719944,-0.6357361793518066,0.095022775,60,4,2,64,True,False
config_0029,recording_loo,./results/SpatioTemporalHeteroGNN/eSEEd_v2/2025-12-30_22-30-06,2025-12-30_22-30-06,13.755714273452758,3.130715775489807,3.1097357,-1.9846207678318024,0.036907963,10,23,3,256,False,False
config_0038,recording_loo,./results/SpatioTemporalHeteroGNN/eSEEd_v2/2025-12-30_23-02-35,2025-12-30_23-02-35,13.758045196533203,3.176399350166321,3.107615,-2.26533300280571,0.029287755,10,7,5,256,True,False
config_0035,subject_loo,./results/SpatioTemporalHeteroGNN/eSEEd_v2/2025-12-30_22-52-15,2025-12-30_22-52-15,13.772474908828736,3.116921830177307,3.4713178,-0.6393481016159057,0.09448853,60,26,4,64,True,True
config_0045,recording_loo,./results/SpatioTemporalHeteroGNN/eSEEd_v2/2025-12-30_23-22-49,2025-12-30_23-22-49,13.80895709991455,3.171150183677673,3.133896,-1.6552273511886595,0.021740096,30,2,1,512,False,True
config_0001,recording_loo,./results/SpatioTemporalHeteroGNN/eSEEd_v2/2025-12-30_19-58-42,2025-12-30_19-58-42,13.88897376060486,3.1881285905838013,3.1179888,-2.097527259588241,0.04493081,10,24,1,512,True,False
