model,metric_type,accuracy,balanced_accuracy,f1,precision,recall,auc,suite_experiment_id,experiment_id,scope,task_type,experiment_group,strategy,trainer_run_dir,label_entropy,macro_precision,macro_recall,macro_f1,macro_auc_ovr,weighted_precision,weighted_recall,weighted_f1,weighted_auc_ovr,f1_comparable,auc_comparable
LightGBM,aggregated,0.6693568336425479,0.7256379585326954,0.3725982163289145,0.4816408128908128,0.3269543948115377,0.7859615895800107,binary_tag_agree_pooled-tagging,binary_tag_agree,pooled-tagging,binary,tagging,recording_loo,results/suite/2026-03-05_13-04-55/binary_tag_agree_pooled-tagging_2026-03-05_13-36-56,0.998896619994684,,,,,,,,,0.3725982163289145,0.7859615895800107
MLP,aggregated,0.6653037438751723,0.7669059011164274,0.3724066555495511,0.4893127705627705,0.3265123765123765,0.8189825890483785,binary_tag_agree_pooled-tagging,binary_tag_agree,pooled-tagging,binary,tagging,recording_loo,results/suite/2026-03-05_13-04-55/binary_tag_agree_pooled-tagging_2026-03-05_13-36-56,0.998896619994684,,,,,,,,,0.3724066555495511,0.8189825890483785
GNN,aggregated,0.6675314764600477,0.730841307814992,0.401351558694228,0.4799573112073112,0.3766602445173874,0.857097288676236,binary_tag_agree_pooled-tagging,binary_tag_agree,pooled-tagging,binary,tagging,recording_loo,results/suite/2026-03-05_13-04-55/binary_tag_agree_pooled-tagging_2026-03-05_13-36-56,0.998896619994684,,,,,,,,,0.401351558694228,0.857097288676236
Mean,aggregated,0.5,,0.5,0.5,0.5,,binary_tag_valid_image-tagging-1,binary_tag_valid,image-tagging-1,binary,tagging,recording_loo,results/suite/2026-03-05_13-04-55/binary_tag_valid_image-tagging-1_2026-03-05_13-57-10,0.9922071475131792,,,,,,,,,0.5,
SVM,aggregated,0.5578766471623615,,0.3751912643372271,0.5,0.3181580324437467,,binary_tag_valid_image-tagging-1,binary_tag_valid,image-tagging-1,binary,tagging,recording_loo,results/suite/2026-03-05_13-04-55/binary_tag_valid_image-tagging-1_2026-03-05_13-57-10,0.9922071475131792,,,,,,,,,0.3751912643372271,
LightGBM,aggregated,0.6306104609676038,,0.3869378642981127,0.5,0.3235217163788592,,binary_tag_valid_image-tagging-1,binary_tag_valid,image-tagging-1,binary,tagging,recording_loo,results/suite/2026-03-05_13-04-55/binary_tag_valid_image-tagging-1_2026-03-05_13-57-10,0.9922071475131792,,,,,,,,,0.3869378642981127,
MLP,aggregated,0.6303785500214072,,0.3970983707368147,0.5,0.3362768184196755,,binary_tag_valid_image-tagging-1,binary_tag_valid,image-tagging-1,binary,tagging,recording_loo,results/suite/2026-03-05_13-04-55/binary_tag_valid_image-tagging-1_2026-03-05_13-57-10,0.9922071475131792,,,,,,,,,0.3970983707368147,
GNN,aggregated,0.579393820465249,,0.3669363787931948,0.5,0.3050431711145997,,binary_tag_valid_image-tagging-1,binary_tag_valid,image-tagging-1,binary,tagging,recording_loo,results/suite/2026-03-05_13-04-55/binary_tag_valid_image-tagging-1_2026-03-05_13-57-10,0.9922071475131792,,,,,,,,,0.3669363787931948,
Mean,aggregated,0.2142857142857142,,0.2142857142857142,0.2142857142857142,0.2142857142857142,,binary_tag_valid_image-tagging-2,binary_tag_valid,image-tagging-2,binary,tagging,recording_loo,results/suite/2026-03-05_13-04-55/binary_tag_valid_image-tagging-2_2026-03-05_14-00-40,0.9974759584526364,,,,,,,,,0.2142857142857142,
SVM,aggregated,0.592464678178964,,0.3811555814177297,0.5,0.3176347462061747,,binary_tag_valid_image-tagging-2,binary_tag_valid,image-tagging-2,binary,tagging,recording_loo,results/suite/2026-03-05_13-04-55/binary_tag_valid_image-tagging-2_2026-03-05_14-00-40,0.9974759584526364,,,,,,,,,0.3811555814177297,
LightGBM,aggregated,0.6154500261643119,,0.3879089616569185,0.5,0.3233581894296179,,binary_tag_valid_image-tagging-2,binary_tag_valid,image-tagging-2,binary,tagging,recording_loo,results/suite/2026-03-05_13-04-55/binary_tag_valid_image-tagging-2_2026-03-05_14-00-40,0.9974759584526364,,,,,,,,,0.3879089616569185,
MLP,aggregated,0.5972069597069598,,0.3773692322352015,0.5,0.3079212454212454,,binary_tag_valid_image-tagging-2,binary_tag_valid,image-tagging-2,binary,tagging,recording_loo,results/suite/2026-03-05_13-04-55/binary_tag_valid_image-tagging-2_2026-03-05_14-00-40,0.9974759584526364,,,,,,,,,0.3773692322352015,
GNN,aggregated,0.5890960230245944,,0.3808463619134638,0.5,0.3180926216640502,,binary_tag_valid_image-tagging-2,binary_tag_valid,image-tagging-2,binary,tagging,recording_loo,results/suite/2026-03-05_13-04-55/binary_tag_valid_image-tagging-2_2026-03-05_14-00-40,0.9974759584526364,,,,,,,,,0.3808463619134638,
Mean,aggregated,0.25,,0.25,0.25,0.25,,binary_tag_valid_video-tagging,binary_tag_valid,video-tagging,binary,tagging,recording_loo,results/suite/2026-03-05_13-04-55/binary_tag_valid_video-tagging_2026-03-05_14-03-56,0.9959365798960972,,,,,,,,,0.25,
SVM,aggregated,0.5361091289662718,,0.3815601912888607,0.5,0.3212977498691783,,binary_tag_valid_video-tagging,binary_tag_valid,video-tagging,binary,tagging,recording_loo,results/suite/2026-03-05_13-04-55/binary_tag_valid_video-tagging_2026-03-05_14-03-56,0.9959365798960972,,,,,,,,,0.3815601912888607,
LightGBM,aggregated,0.5374762142619285,,0.3551605744579226,0.5,0.284569597069597,,binary_tag_valid_video-tagging,binary_tag_valid,video-tagging,binary,tagging,recording_loo,results/suite/2026-03-05_13-04-55/binary_tag_valid_video-tagging_2026-03-05_14-03-56,0.9959365798960972,,,,,,,,,0.3551605744579226,
MLP,aggregated,0.5365563008420151,,0.369504131406714,0.5,0.3028519099947671,,binary_tag_valid_video-tagging,binary_tag_valid,video-tagging,binary,tagging,recording_loo,results/suite/2026-03-05_13-04-55/binary_tag_valid_video-tagging_2026-03-05_14-03-56,0.9959365798960972,,,,,,,,,0.369504131406714,
GNN,aggregated,0.6072522715379858,,0.4056559563624781,0.5,0.354755363683935,,binary_tag_valid_video-tagging,binary_tag_valid,video-tagging,binary,tagging,recording_loo,results/suite/2026-03-05_13-04-55/binary_tag_valid_video-tagging_2026-03-05_14-03-56,0.9959365798960972,,,,,,,,,0.4056559563624781,
Mean,aggregated,0.5,,0.5,0.5,0.5,,binary_tag_valid_pooled-tagging,binary_tag_valid,pooled-tagging,binary,tagging,recording_loo,results/suite/2026-03-05_13-04-55/binary_tag_valid_pooled-tagging_2026-03-05_14-07-32,0.9954695974362904,,,,,,,,,0.5,
SVM,aggregated,0.6171350474921903,,0.4050902522807829,0.5,0.353021978021978,,binary_tag_valid_pooled-tagging,binary_tag_valid,pooled-tagging,binary,tagging,recording_loo,results/suite/2026-03-05_13-04-55/binary_tag_valid_pooled-tagging_2026-03-05_14-07-32,0.9954695974362904,,,,,,,,,0.4050902522807829,
LightGBM,aggregated,0.6273331826903255,,0.3931107411680167,0.5,0.334488923774638,,binary_tag_valid_pooled-tagging,binary_tag_valid,pooled-tagging,binary,tagging,recording_loo,results/suite/2026-03-05_13-04-55/binary_tag_valid_pooled-tagging_2026-03-05_14-07-32,0.9954695974362904,,,,,,,,,0.3931107411680167,
MLP,aggregated,0.6290594326308612,,0.3887890937675725,0.5,0.3270211930926217,,binary_tag_valid_pooled-tagging,binary_tag_valid,pooled-tagging,binary,tagging,recording_loo,results/suite/2026-03-05_13-04-55/binary_tag_valid_pooled-tagging_2026-03-05_14-07-32,0.9954695974362904,,,,,,,,,0.3887890937675725,
GNN,aggregated,0.6149148470577043,,0.4047442923634041,0.5,0.3556384092098378,,binary_tag_valid_pooled-tagging,binary_tag_valid,pooled-tagging,binary,tagging,recording_loo,results/suite/2026-03-05_13-04-55/binary_tag_valid_pooled-tagging_2026-03-05_14-07-32,0.9954695974362904,,,,,,,,,0.4047442923634041,
Mean,aggregated,0.0214707711442786,0.05,,,,,multiclass_emotion_id_emotion-elicitation,multiclass_emotion_id,emotion-elicitation,multiclass,multiclass,recording_loo,results/suite/2026-03-05_13-04-55/multiclass_emotion_id_emotion-elicitation_2026-03-05_14-28-47,2.962568956249687,0.0023856412382531,0.0111111111111111,0.0038689217758985,0.5,0.0050843081312962,0.0214707711442786,0.0081212463054705,0.5,0.0038689217758985,0.5
SVM,aggregated,0.1532566064724131,0.1591518290602795,,,,,multiclass_emotion_id_emotion-elicitation,multiclass_emotion_id,emotion-elicitation,multiclass,multiclass,recording_loo,results/suite/2026-03-05_13-04-55/multiclass_emotion_id_emotion-elicitation_2026-03-05_14-28-47,2.962568956249687,0.08868345155392,0.0430740752588966,0.0468674414145696,0.5458761485950968,0.4758210285066666,0.1532566064724131,0.1979677423490958,0.5492785535663601,0.0468674414145696,0.5458761485950968
LightGBM,aggregated,0.1759271554619204,0.1614150741789339,,,,,multiclass_emotion_id_emotion-elicitation,multiclass_emotion_id,emotion-elicitation,multiclass,multiclass,recording_loo,results/suite/2026-03-05_13-04-55/multiclass_emotion_id_emotion-elicitation_2026-03-05_14-28-47,2.962568956249687,0.1025566998361116,0.0427243967472974,0.0517764584558863,0.5422596662639633,0.5434626706731153,0.1759271554619204,0.2385484253330965,0.5437189747385944,0.0517764584558863,0.5422596662639633
MLP,aggregated,0.180758455894102,0.1768408204691559,,,,,multiclass_emotion_id_emotion-elicitation,multiclass_emotion_id,emotion-elicitation,multiclass,multiclass,recording_loo,results/suite/2026-03-05_13-04-55/multiclass_emotion_id_emotion-elicitation_2026-03-05_14-28-47,2.962568956249687,0.0901881433859526,0.0473735093158928,0.0528203666393568,0.5460671972004288,0.4872451317665855,0.180758455894102,0.2342562563272259,0.5577602461635965,0.0528203666393568,0.5460671972004288
GNN,aggregated,0.1800987195449973,0.1802750885781921,,,,,multiclass_emotion_id_emotion-elicitation,multiclass_emotion_id,emotion-elicitation,multiclass,multiclass,recording_loo,results/suite/2026-03-05_13-04-55/multiclass_emotion_id_emotion-elicitation_2026-03-05_14-28-47,2.962568956249687,0.0969111032959285,0.0486297612613232,0.0509878759684575,0.546312681376462,0.4696460650927854,0.1800987195449973,0.2154567662555297,0.5551447719279657,0.0509878759684575,0.546312681376462
Mean,aggregated,0.27960728487359,0.1710526315789473,,,,,multiclass_va_quadrant_emotion-elicitation,multiclass_va_quadrant,emotion-elicitation,multiclass,multiclass,recording_loo,results/suite/2026-03-05_13-04-55/multiclass_va_quadrant_emotion-elicitation_2026-03-05_14-37-38,1.921042809892909,0.0699018212183975,0.125,0.0837142153614295,0.5,0.1981078943891248,0.27960728487359,0.2243577083014617,0.5,0.0837142153614295,0.5
SVM,aggregated,0.3516384272903228,0.2949439515382793,,,,,multiclass_va_quadrant_emotion-elicitation,multiclass_va_quadrant,emotion-elicitation,multiclass,multiclass,recording_loo,results/suite/2026-03-05_13-04-55/multiclass_va_quadrant_emotion-elicitation_2026-03-05_14-37-38,1.921042809892909,0.3043575987951642,0.1914391296892263,0.2072036909062465,0.5570502141028305,0.6163148144084832,0.3516384272903228,0.4049682017904151,0.5386147066589516,0.2072036909062465,0.5570502141028305
LightGBM,aggregated,0.3415168060362845,0.2951725270179144,,,,,multiclass_va_quadrant_emotion-elicitation,multiclass_va_quadrant,emotion-elicitation,multiclass,multiclass,recording_loo,results/suite/2026-03-05_13-04-55/multiclass_va_quadrant_emotion-elicitation_2026-03-05_14-37-38,1.921042809892909,0.292511046930762,0.1863994392684794,0.2044723296220623,0.5495562289165413,0.603138633737565,0.3415168060362845,0.4010634498505172,0.5429268725891354,0.2044723296220623,0.5495562289165413
MLP,aggregated,0.3404837119594063,0.2939028583456522,,,,,multiclass_va_quadrant_emotion-elicitation,multiclass_va_quadrant,emotion-elicitation,multiclass,multiclass,recording_loo,results/suite/2026-03-05_13-04-55/multiclass_va_quadrant_emotion-elicitation_2026-03-05_14-37-38,1.921042809892909,0.3007165446866414,0.1889638197009976,0.2070988352326367,0.5409837785715779,0.6062412596022095,0.3404837119594063,0.4008277863856775,0.5285175747496428,0.2070988352326367,0.5409837785715779
GNN,aggregated,0.3283691269002127,0.2865881129470931,,,,,multiclass_va_quadrant_emotion-elicitation,multiclass_va_quadrant,emotion-elicitation,multiclass,multiclass,recording_loo,results/suite/2026-03-05_13-04-55/multiclass_va_quadrant_emotion-elicitation_2026-03-05_14-37-38,1.921042809892909,0.2871168926364535,0.1754211032114799,0.1884241553903243,0.5368595404660617,0.5893773658149493,0.3283691269002127,0.3725866084145279,0.5324205026586347,0.1884241553903243,0.5368595404660617
