model,fold_id,metric_type,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,macro_auc_ovr,weighted_precision,weighted_recall,weighted_f1,weighted_auc_ovr,loss
LightGBM,skf_3_P19_P22_P4,aggregated,0.6765327695560254,0.6770997281442266,0.6775315547905909,0.6770997281442266,0.6764402119240829,0.7347796537415939,0.6778911174750345,0.6765327695560254,0.6763360845881476,0.7347796537415939,0.6050224494358208
LightGBM,skf_4_P10_P16_P5,aggregated,0.6785009861932939,0.6784313725490196,0.6785425101214575,0.6784313725490196,0.6784209195089208,0.7547152194211019,0.6785329276764966,0.6785009861932939,0.6784509445155605,0.7547152194211019,0.58492183094503
LightGBM,skf_5_P21_P23_P24,aggregated,0.7209737827715356,0.7197045164367993,0.7266792125072379,0.7197045164367993,0.7184052662313531,0.7770824856537539,0.726193644019093,0.7209737827715356,0.718808170786676,0.777082485653754,0.5706549088239675
LightGBM,skf_6_P18_P29_P7,aggregated,0.6708074534161491,0.6707218465157306,0.6605599723470446,0.6707218465157306,0.6605402394876079,0.752168479858865,0.690349161501418,0.6708074534161491,0.675818831643175,0.752168479858865,0.5825685483515654
SVM,skf_0_P1_P14_P2_P27,aggregated,0.6910112359550562,0.6878532301538997,0.6928157072735386,0.6878532301538997,0.6876370974817935,0.7564717692532665,0.6923569433790091,0.6910112359550562,0.6890049914574405,0.7564717692532664,0.5955083647238548
SVM,skf_1_P17_P20_P8,aggregated,0.6756756756756757,0.6734468339307049,0.6756503327283727,0.6734468339307049,0.6735294117647059,0.7142174432497014,0.6756593253870931,0.6756756756756757,0.6746536452418805,0.7142174432497014,0.6205815973505556
SVM,skf_2_P13_P28_P30,aggregated,0.6721311475409836,0.6721311475409837,0.6724207550979204,0.6721311475409837,0.6719934129824738,0.7428950550927169,0.6724207550979204,0.6721311475409836,0.6719934129824738,0.7428950550927169,0.5996446742266017
SVM,skf_3_P19_P22_P4,aggregated,0.642706131078224,0.6435022893117757,0.6443335132218024,0.6435022893117757,0.6423928457990543,0.6801223350980112,0.6447293629324027,0.642706131078224,0.6421914481195881,0.6801223350980111,0.6516457566426921
SVM,skf_4_P10_P16_P5,aggregated,0.6942800788954635,0.6939775910364145,0.6961139081183134,0.6939775910364145,0.6933447798177668,0.7305555555555556,0.6960101064641898,0.6942800788954635,0.6934449904332344,0.7305555555555555,0.6096142322396298
SVM,skf_5_P21_P23_P24,aggregated,0.6647940074906367,0.6633998849494198,0.6695492662473794,0.6633998849494198,0.6611999390354126,0.7186592398243374,0.6691763047762624,0.6647940074906367,0.6617227126288998,0.7186592398243375,0.6181864919863548
SVM,skf_6_P18_P29_P7,aggregated,0.6832298136645962,0.6851845045574831,0.6739152946049498,0.6851845045574831,0.6738287025798336,0.7422908703322552,0.7037695223602269,0.6832298136645963,0.688159664599289,0.7422908703322552,0.6005178123434155
MLP,skf_0_P1_P14_P2_P27,aggregated,0.699438202247191,0.6989036526468053,0.6989036526468053,0.6989036526468053,0.6989036526468053,0.7542585229742869,0.699438202247191,0.699438202247191,0.699438202247191,0.7542585229742867,0.5900297012641411
MLP,skf_1_P17_P20_P8,aggregated,0.6640926640926641,0.660200119474313,0.6663616625310174,0.660200119474313,0.6592105263157895,0.7115591397849461,0.6658722707109803,0.6640926640926641,0.660942897785003,0.7115591397849461,0.6247633917686011
MLP,skf_2_P13_P28_P30,aggregated,0.6721311475409836,0.6721311475409836,0.6723163841807909,0.6721311475409836,0.6720430107526881,0.7382088148347218,0.672316384180791,0.6721311475409836,0.6720430107526881,0.7382088148347218,0.6118367376611852
MLP,skf_3_P19_P22_P4,aggregated,0.6363636363636364,0.6384854771784232,0.6453265765765765,0.6384854771784232,0.632737450343084,0.6761875804836172,0.6461097461097461,0.6363636363636364,0.6320430742965955,0.6761875804836172,0.6659532344409728
MLP,skf_4_P10_P16_P5,aggregated,0.6923076923076923,0.6920868347338935,0.6932234432234432,0.6920868347338935,0.6917789001122334,0.7545751633986928,0.6931530008453086,0.6923076923076923,0.6918544418544419,0.7545751633986929,0.5835610554661201
MLP,skf_5_P21_P23_P24,aggregated,0.6647940074906367,0.6638488628232291,0.6666761817766613,0.6638488628232291,0.6629964567137342,0.7192204621665989,0.6664610761439729,0.6647940074906367,0.663365185078227,0.7192204621665989,0.631527924510504
MLP,skf_6_P18_P29_P7,aggregated,0.6625258799171843,0.6561029844163482,0.6481684981684981,0.6561029844163482,0.6492405982544229,0.7255402822699206,0.6766553667174784,0.6625258799171843,0.6669071962102225,0.7255402822699206,0.6083932476525857
GazeMAE_MLP,skf_0_P1_P14_P2_P27,aggregated,0.6811797752808989,0.6813834370133822,0.6810671337941483,0.6813834370133822,0.6809979177152106,0.7367580684683546,0.6819119449447777,0.6811797752808989,0.6813188428311311,0.7367580684683545,0.6957795012746849
GazeMAE_MLP,skf_1_P17_P20_P8,aggregated,0.693050193050193,0.6883064516129033,0.6993927605673893,0.6883064516129033,0.6868305481092796,0.7621266427718041,0.6982674663304674,0.693050193050193,0.6887049616531166,0.7621266427718041,0.5842668917068914
